acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-14716,-116,-6408,-383,351,-11,2026-01-22 11:38:11,0.0
-14736,-4,-6308,-444,253,-51,2026-01-22 11:38:11,0.0
-14928,-68,-6200,-363,452,18,2026-01-22 11:38:11,0.0
-14824,16,-6232,-410,435,21,2026-01-22 11:38:11,0.0
-14872,-20,-6388,-403,495,40,2026-01-22 11:38:11,0.0
-14804,-20,-6320,-376,447,-27,2026-01-22 11:38:11,0.0
-14708,-92,-6452,-472,568,-14,2026-01-22 11:38:11,0.0
-14724,-108,-6304,-418,667,-26,2026-01-22 11:38:12,0.0
-14784,-20,-6224,-413,372,-28,2026-01-22 11:38:12,0.0
-14768,-100,-6464,-450,410,-47,2026-01-22 11:38:12,0.0
-14768,0,-6460,-375,447,2,2026-01-22 11:38:12,0.0
-14800,0,-6444,-437,482,7,2026-01-22 11:38:12,0.0
-14792,16,-6560,-417,451,-16,2026-01-22 11:38:12,0.0
-14744,-120,-6288,-435,368,-30,2026-01-22 11:38:12,0.0
-14808,-40,-6220,-441,403,-42,2026-01-22 11:38:12,0.0
-14824,-88,-6380,-372,393,14,2026-01-22 11:38:13,0.0
-14880,-128,-6376,-503,464,-23,2026-01-22 11:38:13,0.0
-14768,-48,-6604,-383,575,-15,2026-01-22 11:38:13,0.0
-14760,16,-6416,-326,398,47,2026-01-22 11:38:13,0.0
-14780,-32,-6244,-456,330,-32,2026-01-22 11:38:13,0.0
-14920,-68,-6328,-412,418,-4,2026-01-22 11:38:13,0.0
-14804,16,-6352,-326,453,-21,2026-01-22 11:38:13,0.0
-14824,-20,-6372,-525,510,-37,2026-01-22 11:38:14,0.0
-14772,76,-6192,-393,498,-30,2026-01-22 11:38:14,0.0
-14936,132,-6380,-335,285,22,2026-01-22 11:38:14,0.0
-14800,120,-6420,-419,310,-10,2026-01-22 11:38:14,0.0
-14832,88,-6428,-481,377,-9,2026-01-22 11:38:14,0.0
-14812,-32,-6336,-414,536,-40,2026-01-22 11:38:14,0.0
-14780,48,-6600,-478,622,-87,2026-01-22 11:38:14,0.0
-14724,-8,-6292,-413,477,-43,2026-01-22 11:38:14,0.0
-14788,-8,-6520,-365,376,13,2026-01-22 11:38:15,0.0
-14752,32,-6456,-467,397,-15,2026-01-22 11:38:15,0.0
-14768,44,-6368,-437,504,-55,2026-01-22 11:38:15,0.0
-14844,-32,-6408,-491,428,-45,2026-01-22 11:38:15,0.0
-14828,104,-6468,-421,530,-29,2026-01-22 11:38:15,0.0
-14900,4,-6444,-295,373,61,2026-01-22 11:38:15,0.0
-14816,76,-6288,-461,531,-54,2026-01-22 11:38:15,0.0
-14784,-40,-6500,-438,541,-57,2026-01-22 11:38:15,0.0
-14820,20,-6560,-320,304,6,2026-01-22 11:38:16,0.0
-14796,148,-6436,-292,391,-6,2026-01-22 11:38:16,0.0
-14680,56,-6228,-417,1516,-92,2026-01-22 11:38:16,0.0
-14724,28,-6500,-426,522,-8,2026-01-22 11:38:16,0.0
-14800,56,-6512,-502,-47,-11,2026-01-22 11:38:16,0.0
-14764,40,-6356,-547,493,21,2026-01-22 11:38:16,0.0
-14812,52,-6448,-510,573,-36,2026-01-22 11:38:16,0.0
-14812,64,-6440,-287,345,-4,2026-01-22 11:38:17,0.0
-14736,56,-6480,-219,506,32,2026-01-22 11:38:17,0.0
-14868,208,-6528,-493,427,-23,2026-01-22 11:38:17,0.0
-14768,96,-6328,-511,283,-78,2026-01-22 11:38:17,0.0
-14644,16,-6364,-522,378,-59,2026-01-22 11:38:17,0.0
-14696,-44,-6324,-442,481,-32,2026-01-22 11:38:17,0.0
-14836,24,-6248,-474,325,-72,2026-01-22 11:38:17,0.0
-14744,-28,-6296,-478,513,-52,2026-01-22 11:38:17,0.0
-14764,104,-6628,-329,366,34,2026-01-22 11:38:18,0.0
-14820,-80,-6452,-425,417,-4,2026-01-22 11:38:18,0.0
-14844,68,-6388,-347,921,20,2026-01-22 11:38:18,0.0
-14804,84,-6720,-319,355,22,2026-01-22 11:38:18,0.0
-14620,76,-6580,-559,295,-108,2026-01-22 11:38:18,0.0
-14636,-100,-6616,-344,278,24,2026-01-22 11:38:18,0.0
-14812,144,-6648,-433,458,-22,2026-01-22 11:38:18,0.0
-14792,-36,-6424,-160,-77,86,2026-01-22 11:38:19,0.0
-14836,92,-6396,-352,421,-17,2026-01-22 11:38:19,0.0
-14716,32,-6304,-291,414,-8,2026-01-22 11:38:19,0.0
-14884,160,-6340,-296,389,81,2026-01-22 11:38:19,0.0
-14844,144,-6536,-395,344,-15,2026-01-22 11:38:19,0.0
-14760,132,-6108,-435,630,-78,2026-01-22 11:38:19,0.0
-14812,48,-6464,-480,470,-60,2026-01-22 11:38:19,0.0
-14724,36,-6228,-413,510,-74,2026-01-22 11:38:19,0.0
-14736,152,-6428,-360,460,-44,2026-01-22 11:38:20,0.0
-14700,148,-6496,-334,417,50,2026-01-22 11:38:20,0.0
-14812,216,-6684,-479,555,-27,2026-01-22 11:38:20,0.0
-14720,8,-6396,-349,406,9,2026-01-22 11:38:20,0.0
-14820,-36,-6608,-486,533,-26,2026-01-22 11:38:20,0.0
-14776,132,-6548,-512,358,-41,2026-01-22 11:38:20,0.0
-14704,228,-6472,-516,369,-17,2026-01-22 11:38:20,0.0
-14756,104,-6376,-372,279,16,2026-01-22 11:38:21,0.0
-14720,168,-6304,-544,352,-57,2026-01-22 11:38:21,0.0
-14788,104,-6452,-410,448,-46,2026-01-22 11:38:21,0.0
-14756,84,-6452,-338,415,3,2026-01-22 11:38:21,0.0
-14836,208,-6344,-546,685,-89,2026-01-22 11:38:21,0.0
-14820,136,-6352,-445,224,-23,2026-01-22 11:38:21,0.0
-14912,112,-6500,-228,431,78,2026-01-22 11:38:21,0.0
-14776,48,-6500,-396,435,-26,2026-01-22 11:38:21,0.0
-14556,44,-6368,-500,181,4,2026-01-22 11:38:21,0.0
-14704,160,-6384,-406,496,-10,2026-01-22 11:38:22,0.0
-14784,220,-6328,-518,417,-51,2026-01-22 11:38:22,0.0
-14692,100,-6328,-432,336,-20,2026-01-22 11:38:22,0.0
-14812,212,-6484,-431,463,-12,2026-01-22 11:38:22,0.0
-14836,152,-6428,-409,395,-2,2026-01-22 11:38:22,0.0
-14776,212,-6488,-431,531,-21,2026-01-22 11:38:22,0.0
-15012,76,-6528,-365,337,28,2026-01-22 11:38:22,0.0
-14852,160,-6340,-663,235,-97,2026-01-22 11:38:23,0.0
-14748,56,-6084,-380,358,6,2026-01-22 11:38:23,0.0
-14824,144,-6396,-367,473,32,2026-01-22 11:38:23,0.0
-14792,284,-6332,-476,327,27,2026-01-22 11:38:23,0.0
-14788,44,-6304,-375,485,17,2026-01-22 11:38:23,0.0
-14848,180,-6452,-469,360,-20,2026-01-22 11:38:23,0.0
-14704,200,-6332,-438,376,-4,2026-01-22 11:38:23,0.0
-14692,168,-6564,-395,450,-14,2026-01-22 11:38:23,0.0
-14680,132,-6256,-405,438,-45,2026-01-22 11:38:23,
-14764,196,-6524,-379,366,16,2026-01-22 11:38:24,0.0
-14856,236,-6464,-407,542,-7,2026-01-22 11:38:24,0.0
-14844,224,-6348,-582,293,-122,2026-01-22 11:38:24,0.0
-14712,172,-6308,-396,361,-45,2026-01-22 11:38:24,0.0
-14772,208,-6428,-332,449,-5,2026-01-22 11:38:24,0.0
-14828,176,-6428,-465,389,-40,2026-01-22 11:38:24,0.0
-14800,252,-6480,-450,454,-28,2026-01-22 11:38:24,0.0
-14776,192,-6308,-406,392,0,2026-01-22 11:38:25,0.0
-14788,140,-6416,-491,551,-2,2026-01-22 11:38:25,0.0
-14836,164,-6208,-413,398,-40,2026-01-22 11:38:25,0.0
-14812,148,-6468,-486,470,-49,2026-01-22 11:38:25,0.0
-14824,168,-6404,-429,645,17,2026-01-22 11:38:25,0.0
-14964,240,-6080,-451,790,-6,2026-01-22 11:38:25,0.0
-15168,1384,-3104,-3540,1305,-4787,2026-01-22 11:38:25,0.0
-15764,-540,-8768,-12732,1863,-12500,2026-01-22 11:38:25,0.0
-12000,-3880,-9228,2087,3548,-2748,2026-01-22 11:38:26,0.0
-12248,-4500,-8936,2462,2539,-1927,2026-01-22 11:38:26,0.0
-12968,-2800,-11528,3465,3247,2553,2026-01-22 11:38:26,0.0
-13332,-3144,-8080,1738,-123,3340,2026-01-22 11:38:26,0.0
-14548,-4496,-7284,-935,2851,-337,2026-01-22 11:38:26,0.0
-12168,-4520,-11096,2640,4194,429,2026-01-22 11:38:26,0.0
-11540,-3768,-10776,4332,3519,2217,2026-01-22 11:38:26,0.0
-15000,-4628,-9936,-242,-2677,-1316,2026-01-22 11:38:27,0.0
-12584,-3428,-10228,-2873,-2774,2175,2026-01-22 11:38:27,0.0
-12376,-4060,-10348,-462,303,2435,2026-01-22 11:38:27,0.0
-13476,-2692,-9224,-1521,1872,980,2026-01-22 11:38:27,0.0
-12996,-4260,-10168,3,3662,-699,2026-01-22 11:38:27,0.0
-12476,-2652,-9580,1422,389,2534,2026-01-22 11:38:27,0.0
-15576,-2228,-9516,-1524,-234,-4061,2026-01-22 11:38:28,0.0
-14080,-6140,-10656,2187,1757,-12392,2026-01-22 11:38:28,0.0
-7848,-10448,-10032,-5515,-2041,-17898,2026-01-22 11:38:28,0.0
-7576,-6068,-12532,-13175,-17913,-7715,2026-01-22 11:38:28,0.0
-11772,-6252,-12160,-10374,-20213,840,2026-01-22 11:38:28,0.0
-15016,-10220,-3148,-114,-26811,-10554,2026-01-22 11:38:28,0.0
-10516,-11488,3760,3087,946,-3056,2026-01-22 11:38:28,0.0
-8600,-9376,3956,1871,19058,1755,2026-01-22 11:38:29,0.0
-10092,-7848,-11008,-6079,32767,-519,2026-01-22 11:38:29,0.0
-9748,-10092,-9916,-6717,2608,1169,2026-01-22 11:38:29,0.0
-8284,-9152,-12312,492,-5912,-401,2026-01-22 11:38:29,0.0
-8116,-9288,-10972,-1185,5278,1982,2026-01-22 11:38:29,0.0
-7104,-8388,-12060,-101,176,1122,2026-01-22 11:38:29,0.0
-9028,-8540,-12064,-1043,-1384,-670,2026-01-22 11:38:29,0.0
-8712,-8208,-11180,-1523,1228,-16,2026-01-22 11:38:29,0.0
-8652,-8372,-10736,-1234,-4614,-570,2026-01-22 11:38:30,0.0
-10084,-7596,-11856,-763,-2554,1410,2026-01-22 11:38:30,0.0
-10064,-8388,-10168,-2286,6957,2550,2026-01-22 11:38:30,0.0
-9960,-7720,-12688,1665,1723,123,2026-01-22 11:38:30,0.0
-9776,-7552,-12784,2451,-927,-1083,2026-01-22 11:38:30,0.0
-10708,-7564,-10500,344,-3221,1403,2026-01-22 11:38:30,0.0
-10884,-7640,-9240,-813,5451,-212,2026-01-22 11:38:30,0.0
-11380,-7736,-9276,-673,-6392,209,2026-01-22 11:38:31,0.0
-12344,-7972,-8072,800,-10747,-1840,2026-01-22 11:38:31,0.0
-13368,-9068,-5020,1294,-8913,-2861,2026-01-22 11:38:31,0.0
-12540,-8948,-2332,1409,-6242,765,2026-01-22 11:38:31,0.0
-13400,-9528,-1328,-954,-250,-978,2026-01-22 11:38:31,0.0
-13360,-10052,-1812,-2735,6149,-2887,2026-01-22 11:38:31,0.0
-12804,-9664,-4804,-4250,11105,1231,2026-01-22 11:38:31,0.0
-12240,-10456,-6244,-1824,2160,308,2026-01-22 11:38:31,0.0
-11772,-9988,-6692,46,3337,-871,2026-01-22 11:38:32,0.0
-10132,-8420,-9848,-928,14948,3556,2026-01-22 11:38:32,0.0
-7352,-7780,-9872,-408,-3462,4154,2026-01-22 11:38:32,0.0
-10524,-7464,-11900,151,9409,6091,2026-01-22 11:38:32,0.0
-9436,-6584,-12028,-3656,2753,2716,2026-01-22 11:38:32,0.0
-12500,-5372,-9460,-1514,-15921,-8239,2026-01-22 11:38:32,0.0
-12172,-4484,-6108,7360,-12133,7147,2026-01-22 11:38:32,0.0
-14928,-6088,-1428,5544,-14203,-7428,2026-01-22 11:38:33,0.0
-13700,-7152,1604,3680,-3663,-3287,2026-01-22 11:38:33,0.0
-12280,-8388,2012,3243,-698,-5779,2026-01-22 11:38:33,0.0
-12400,-8612,3340,3399,11357,374,2026-01-22 11:38:33,0.0
-14592,-6316,92,11131,12080,-2352,2026-01-22 11:38:33,0.0
-12904,-11500,-504,8040,465,-9081,2026-01-22 11:38:33,0.0
-10988,-9196,1048,-2942,1496,4214,2026-01-22 11:38:34,0.0
-14144,-11788,792,-733,-1229,1823,2026-01-22 11:38:34,0.0
-10816,-9684,832,-23,-1416,4476,2026-01-22 11:38:34,0.0
-12796,-4960,528,-3579,-848,9809,2026-01-22 11:38:34,0.0
-12812,-5288,628,-4035,-397,9384,2026-01-22 11:38:34,0.0
-12772,-4672,2556,-2600,300,1577,2026-01-22 11:38:34,0.0
-15828,-3724,1268,2157,1240,4803,2026-01-22 11:38:34,0.0
-15484,-2832,1212,-104,1506,5132,2026-01-22 11:38:34,0.0
-14044,-2660,1180,-1971,-44,-7224,2026-01-22 11:38:34,0.0
-15404,-7428,668,-413,504,-13008,2026-01-22 11:38:34,0.0
-14520,-7936,1572,2318,1389,-130,2026-01-22 11:38:35,0.0
-11976,-8332,1300,778,-572,-2011,2026-01-22 11:38:35,0.0
-13612,-8460,1072,744,-1004,-2298,2026-01-22 11:38:35,0.0
-12604,-9728,1328,1035,1492,-467,2026-01-22 11:38:35,0.0
-12308,-9804,1836,-127,456,-3833,2026-01-22 11:38:35,0.0
-10876,-9864,1556,-569,-606,-2810,2026-01-22 11:38:35,0.0
-10980,-10644,1296,-3089,-2223,-5756,2026-01-22 11:38:35,0.0
-9912,-12776,2172,-1012,173,-1876,2026-01-22 11:38:36,0.0
-9272,-13700,1572,-3587,-1737,-2716,2026-01-22 11:38:36,0.0
-8480,-15400,896,-2694,40,-3316,2026-01-22 11:38:36,0.0
-7232,-13096,1716,-1565,-6471,-5902,2026-01-22 11:38:36,0.0
-7672,-13036,2132,56,-637,-7931,2026-01-22 11:38:36,0.0
-4628,-15312,4176,3391,-115,704,2026-01-22 11:38:36,0.0
-2176,-14392,2444,-4029,1296,6222,2026-01-22 11:38:36,0.0
-6408,-13524,2396,-5032,-2751,4257,2026-01-22 11:38:37,0.0
-9432,-14552,224,-6508,-12157,8675,2026-01-22 11:38:37,0.0
-9148,-13756,1672,-17869,-26547,6513,2026-01-22 11:38:37,0.0
-6896,-13668,2204,-20305,-29491,4160,2026-01-22 11:38:37,0.0
-8416,-13572,3384,-3225,-24906,3709,2026-01-22 11:38:37,
